순위,책제목,저자,출판사,가격
31,빅 사이클,레이 달리오 저/조용빈 역,한빛비즈,"34,200원"
32,고전이 답했다 마땅히 가져야 할 부에 대하여,고명환 저,라곰,"16,020원"
33,엄마의 말 연습,윤지영 저,카시오페아,"15,750원"
34,해커스 토익 기출 VOCA (보카),David Cho 저,해커스어학연구소,"11,610원"
35,마법천자문 67,알에스미디어 글/정수영 그림/강용철 감수,아울북,"14,220원"
36,스토너,존 윌리엄스 저/김승욱 역,알에이치코리아(RHK),"15,120원"
37,결국 국민이 합니다,이재명 저,오마이북,"19,800원"
38,소설판 사카모토 데이즈 : 킬러들의 블루스,미사키 렌카 저/스즈키 유우토 원저,대원,"7,650원"
39,하루 한 장 나의 어휘력을 위한 필사 노트,유선경 저,위즈덤하우스,"21,420원"
40,스파이 패밀리 Spy Family 15,엔도 타츠야 글그림,학산문화사,"5,400원"
41,넥서스,유발 하라리 저/김명주 역,김영사,"25,020원"
42,묘식당의 신박한 가정간편식,이용경(유튜버 묘식당) 저,황금부엉이,"23,850원"
43,일과 성공의 길을 묻다,마쓰시타 고노스케 저/김정환 역,지니의서재,"16,020원"
44,작별하지 않는다,한강 저,문학동네,"15,120원"
45,멜로우TV 3 : 멜싹오싹 위험한 미션,멜로우 TV 원저/한바리 글/차차 그림,학산문화사(단행본),"15,120원"
46,빛과 실,한강 저,문학과지성사,"13,500원"
47,물질의 세계,에드 콘웨이 저/이종인 역,인플루엔셜,"26,820원"
48,채식주의자,한강 저,창비,"15,300원"
49,저속노화 마인드셋,정희원 저,웨일북,"17,550원"
50,괴수 8호 RELAX 2,마츠모토 나오야 원저/Kizuku Watanabe 글그림/유유리 역,서울미디어코믹스(서울문화사),"5,400원"
51,밤새들의 도시,김주혜 저/김보람 역,다산책방,"17,820원"
52,스위치온 다이어트 레시피북,"박용우, 김영아 저",루미너스,"20,700원"
53,에그박사 15,에그박사 원저/박송이 글/홍종현 그림/주세종 감수,미래엔아이세움,"14,220원"
54,흔한남매 19,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움,"14,220원"
55,믿을 구석 The Last Resort,"김멜라, 김복희, 김이설, 박정민, 박참새 저 외 9명
                                        
정보 더 보기/감추기



김멜라
김복희
김이설
박정민
박참새
손원평
오은
조예은
천선란
황인찬
김정아
배유진
전인범
이해인",서울국제도서전,"13,500원"
56,역사의 시선,전우용 저,삼인,"17,100원"
57,불멸의 유전자,리처드 도킨스 저/야나 렌조바 그림/이한음 역,을유문화사,"22,500원"
58,순간을 달리는 할머니 1,펀자이씨(엄유진) 글그림,문학동네,"16,200원"
59,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),데일 카네기 저/임상훈 역,현대지성,"10,350원"
60,"2025 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성 저,이투스북,"17,550원"
61,행복한 철학자,우애령 저/펀자이씨(엄유진) 그림,하늘재,"17,100원"
62,료의 생각 없는 생각,료 저,열림원,"18,000원"
63,퓨처 셀프 30만 부 기념 스페셜 에디션,벤저민 하디 저/최은아 역,상상스퀘어,"19,800원"
64,설민석의 한국사 대모험 33,"설민석, 남이담 글/정현희 그림/강석화 감수",단꿈아이,"12,600원"
65,세계 경제 지각 변동,박종훈 저,글로퍼스,"19,800원"
66,맞춤법 천재라면,"박정란, 서재인 글/김기수 그림",슈크림북,"13,500원"
67,마음의 기술,"안-엘렌 클레르, 뱅상 트리부 저/구영옥 역",상상스퀘어,"18,900원"
68,순간을 달리는 할머니 2,펀자이씨(엄유진) 글그림,문학동네,"16,200원"
69,긴긴밤,루리 글그림,문학동네,"11,250원"
70,이기적 유전자 The Selfish Gene,"리처드 도킨스 저/홍영남, 이상임 역",을유문화사,"18,000원"
71,너에게 들려주는 단단한 말,김종원 저,퍼스트펭귄,"16,200원"
72,세상을 움직이는 놀라운 화학,"표트르 발치트, 마리아 샤라포바 저/리사 카진스카야 그림/이경아 역/이황기 감수",미디어숲,"16,920원"
73,홍학의 자리,정해연 저,엘릭시르,"12,600원"
74,부의 전략 수업,폴 포돌스키 저/고영훈 역,필름,"17,820원"
75,이로운 보수 의로운 진보,"최강욱, 최강혁 저",한겨레출판,"18,000원"
76,해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,해커스 일본어연구소 저,해커스어학연구소,"12,510원"
77,서랍에 저녁을 넣어 두었다,한강 저,문학과지성사,"10,800원"
78,미지의 서울 대본집 세트,이강 저,BIRDBOX(버드박스),"41,400원"
79,세이노의 가르침,세이노(SayNo) 저,데이원,"6,480원"
80,의사 어벤저스 22,고희정 글/조승연 그림/류정민 감수,가나출판사,"14,220원"
81,부동산 투자 황금 로드맵,김원철 저,다산북스,"22,500원"
82,경험의 멸종,크리스틴 로젠 저/이영래 역,어크로스,"17,820원"
83,2025 제16회 젊은작가상 수상작품집,"백온유, 강보라, 서장원, 성해나, 성혜령 저 외 2명
                                        
정보 더 보기/감추기



백온유
강보라
서장원
성해나
성혜령
이희주
현호정",문학동네,"6,930원"
84,코스모스,칼 에드워드 세이건 저/홍승수 역,사이언스북스,"17,910원"
85,내가 나라서 정말 좋아,김지훤 글/하꼬방 그림,길벗,"15,120원"
86,파과 (리커버),구병모 저,위즈덤하우스,"14,220원"
87,인생을 바꾸는 이메일 쓰기,이슬아 저,이야기장수,"16,020원"
88,질문의 격,유선경 저,앤의서재,"16,020원"
89,메리골드 마음 식물원 (아틀리에 컬렉션),윤정은 저,북로망스,"16,200원"
90,여름 피치 스파클링,차정은 저,다이브,"10,800원"
91,돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절 저/이지연 역,인플루엔셜,"17,820원"
92,그릿 GRIT,김주환 저,인플루엔셜,"16,920원"
93,니체 인생수업 : 니체가 세상에 남긴 66가지 인생지혜 (리커버 에디션),프리드리히 니체 저 / 김지민 역,하이스트,"15,750원"
94,어서 오세요 실력지상주의 교실에 2학년 편 12.5,키누가사 쇼고 저/토모세 슌사쿠 그림/조민정 역,소미미디어,"7,650원"
95,해커스 토익 RC Reading(리딩) 기본서,David Cho 저,해커스어학연구소,"16,920원"
